Reason for Credit Entry,Sub Order No,Order Date,Customer State,Product Name,SKU,Size,Quantity,Supplier Listed Price (Incl. GST + Commission),Supplier Discounted Price (Incl GST and Commision)
DELIVERED,406826346276_1,01-08-2022,Rajasthan,FIVESTAR Georgette Lehengha Choli with Inner Crep and Embroidered with 9mm Sequnce Work with Dupata,6326,Semi Stitched,1,1910,1910
CANCELLED,216649987717_1,02-08-2022,Andhra Pradesh,"Beautiful pure lakhnovi long kurta embroidery cotton thread work,sequence work ,flair plazoo and duppata",Kb 201,XXL,1,1500,1500
DELIVERED,184970118893_1,02-08-2022,Karnataka, PARTY WEAR BEAUTIFUL LOOK FANCY EMBROIDERY AND 5mm SEQUENCE WORK GOWN WITH DUPATTA ,hk 1446,Free Size,1,1561,1561
RTO_COMPLETE,916538974169_1,02-08-2022,Assam,FIVESTAR Designer Suit On Havy Gorgette febric with 9MM sequnce work and sharara on Gorgette febric with 9MM Sequnce work and Dupatta on also Gorgette Febric with 9MM Sequnce work (BLACK),1101 black,Semi Stitched,1,1749,1749
DELIVERED,528661643961_1,02-08-2022,West Bengal,stlish dress,mk -6114,XL,1,750,750
RTO_COMPLETE,261363877240_1,02-08-2022,Uttar Pradesh,Heavy faux georgette with embroidery work with moti latkan border with sleev  Dupatta Sets ,Ad 009 a,XXL,1,1500,1500
CANCELLED,125088357756_1,02-08-2022,Madhya Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350,1350
CANCELLED,223981111637_1,03-08-2022,Jharkhand,stylish shirt,546149913,XXL,1,500,500
CANCELLED,760155806750_1,03-08-2022,Telangana,Fancy three layer one piece,123,S,1,550,550
RTO_COMPLETE,183404359462_1,03-08-2022,Bihar,top & bottom set,akshar 1090,M,1,1368,1368
DELIVERED,322259568161_1,03-08-2022,Telangana, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350,1350
DELIVERED,173534645547_1,04-08-2022,Madhya Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350,1350
RTO_COMPLETE,493966375185_1,04-08-2022,Odisha, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350,1350
DELIVERED,507255016644_1,04-08-2022,Telangana,Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata,Ad 021,XXL,1,1300,1300
CANCELLED,180484790337_1,04-08-2022,West Bengal,Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata,Ad 021,XXL,1,1300,1300
DELIVERED,354486173123_1,04-08-2022,Himachal Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350,1350
DELIVERED,832025757463_1,04-08-2022,Tamil Nadu, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350,1350
CANCELLED,838020109948_1,04-08-2022,Madhya Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350,1350
CANCELLED,581588380617_1,05-08-2022,Uttar Pradesh,FIVESTAR beautiful Designer Saree on premium Soft Net fabric with Sequence and Embroidery work and blouse on Velvet fabric with Sequence and Embroidery work,323,Free Size,1,1399,1399
